City,Latitude,Longitude,Max Temperature (F),Humidity,Cloudiness,Wind Speed,Country,Date
Avarua,-21.2078,-159.775,78.85,89,75,6.91,CK,1642659391
Ushuaia,-54.8,-68.3,44.08,81,11,4.88,AR,1642659393
Hilo,19.7297,-155.09,71.33,93,90,9.22,US,1642659141
Acajutla,13.5928,-89.8275,74.8,66,0,6.06,SV,1642659394
Hvide Sande,56.0045,8.1294,35.89,64,21,39.35,DK,1642659394
Brumunddal,60.881,10.9395,28.72,55,46,13.04,NO,1642659394
Cherskiy,68.75,161.3,-41.4,99,31,3.51,RU,1642659394
Saquarema,-22.92,-42.5103,74.12,92,13,10.33,BR,1642659395
Anjozorobe,-18.4,47.8667,66.52,92,100,3.98,MG,1642659395
Ribeira Grande,38.5167,-28.7,61.99,82,14,11.16,PT,1642659396
Kaélé,10.1092,14.4508,59.77,25,56,12.71,CM,1642659396
Nhulunbuy,-12.2333,136.7667,88.41,66,75,12.66,AU,1642659396
Airai,-8.9266,125.4092,62.1,95,100,1.66,TL,1642659397
Esterhazy,50.65,-102.0843,-28.35,99,6,5.48,CA,1642659397
Vila Franca do Campo,37.7167,-25.4333,61.21,86,82,19.04,PT,1642659398
Yellowknife,62.456,-114.3525,-14.71,83,0,8.05,CA,1642659398
Seoul,37.5683,126.9778,36.79,37,0,4.61,KR,1642659398
Narsaq,60.9167,-46.05,39.42,97,100,8.1,GL,1642659399
Vaini,-21.2,-175.2,81.84,85,3,21.23,TO,1642659399
Jamestown,42.097,-79.2353,27.09,58,100,10.0,US,1642659400
Constitución,-35.3333,-72.4167,50.68,86,0,9.17,CL,1642659182
Redondela,42.2834,-8.6096,48.85,87,0,6.91,ES,1642659400
Khatanga,71.9667,102.5,-15.75,100,100,6.91,RU,1642659401
Cap Malheureux,-19.9842,57.6142,84.47,81,89,5.01,MU,1642659247
Hermanus,-34.4187,19.2345,70.81,64,29,5.5,ZA,1642659401
Carnarvon,-24.8667,113.6333,84.27,70,0,14.97,AU,1642659402
Ostfildern,48.7267,9.2514,35.92,90,75,8.05,DE,1642659402
Aktash,50.3,87.7333,12.33,92,100,5.55,RU,1642659403
San Ignacio,17.1561,-89.0714,66.34,94,0,0.0,BZ,1642659403
Kapaa,22.0752,-159.319,73.38,72,20,3.44,US,1642659404
Belmopan,17.25,-88.7667,76.3,98,50,1.77,BZ,1642659404
Zhezkazgan,47.8043,67.7144,8.58,78,0,13.42,KZ,1642659405
Ulladulla,-35.35,150.4667,71.67,67,88,11.65,AU,1642659405
Santiago del Estero,-27.7951,-64.2615,66.85,88,62,3.44,AR,1642659406
Bethel,41.3712,-73.414,43.2,65,75,4.61,US,1642659406
Chokurdakh,70.6333,147.9167,-32.49,97,89,5.23,RU,1642659407
Atuona,-9.8,-139.0333,79.07,75,25,21.39,PF,1642659407
Mataura,-46.1927,168.8643,55.47,67,100,9.44,NZ,1642659407
Touros,-5.1989,-35.4608,76.1,76,77,10.74,BR,1642659408
Tasiilaq,65.6145,-37.6368,32.16,97,100,14.16,GL,1642659408
Bluff,-46.6,168.3333,55.8,82,100,24.29,NZ,1642659409
Albany,42.6001,-73.9662,39.31,77,100,7.74,US,1642659365
Busselton,-33.65,115.3333,105.04,34,1,11.14,AU,1642659409
New Norfolk,-42.7826,147.0587,75.9,28,36,1.99,AU,1642659410
Barrow,71.2906,-156.7887,-25.58,75,0,4.61,US,1642659410
Lorengau,-2.0226,147.2712,80.2,84,100,13.8,PG,1642659411
Zabul Province,32.25,67.25,39.45,61,94,9.44,AF,1642659411
Rikitea,-23.1203,-134.9692,77.85,78,100,17.38,PF,1642659412
Longyearbyen,78.2186,15.6401,17.44,67,40,8.05,SJ,1642659254
Richards Bay,-28.783,32.0377,76.69,73,11,1.83,ZA,1642659413
Jishu,44.3167,126.8,4.78,78,17,4.16,CN,1642659413
Cabo San Lucas,22.8909,-109.9124,74.52,70,100,10.02,MX,1642658963
Wangaratta,-36.3667,146.3333,88.47,29,0,5.93,AU,1642659415
Carutapera,-1.195,-46.02,76.32,90,41,5.55,BR,1642659415
Uusikaupunki,60.8004,21.4084,32.52,93,100,25.39,FI,1642659392
Nikolskoye,59.7035,30.7861,36.88,90,100,9.78,RU,1642659416
Port Lincoln,-34.7333,135.8667,79.09,53,36,9.51,AU,1642659416
Muyezerskiy,63.9333,31.65,31.71,99,100,7.0,RU,1642659417
Quebo,11.3333,-14.9333,68.25,93,100,1.9,GW,1642659417
